Run Type,NumCPU,NumNodes,ParticleCount,Total Elapsed Time 1(s),Total Elapsed Time 2(s),Total Elapsed Time 3(s),Total Elapsed Time Average(seconds),Speedup
OPENHYBRID(x3),3,3,16384,11495.1,11436.3,12072.2,11667.86667,1.602675153
OPENHYBRID(x3),4,3,16384,4744.71,4747.26,4746.13,4746.033333,3.940090321
OPENHYBRID(x3),5,3,16384,6715,6923.48,6703.75,6780.743333,2.757780244
OPENHYBRID(x3),6,3,16384,5754.07,5752.01,5762.72,5756.266667,3.248598629
OPENHYBRID(x3),7,3,16384,4961.34,4971.23,4975.22,4969.263333,3.763092987
OPENHYBRID(x3),8,3,16384,4275.05,4269.24,4285.67,4276.653333,4.37253117
OPENHYBRID(x3),9,3,16384,4469.17,4453.76,4468.44,4463.79,4.189220371
OPENHYBRID(x3),10,3,16384,4280.73,4271.7,4296.74,4283.056667,4.365994068
OPENHYBRID(x3),11,3,16384,3912.51,3900.21,3894.27,3902.33,4.791957625
OPENHYBRID(x3),12,3,16384,3328.25,3338.28,3465.21,3377.246667,5.536995619
OPENHYBRID(x4),1,4,16384,14286.4,14223.7,14228,14246.03333,1
OPENHYBRID(x4),2,4,16384,7161.02,7157.95,7150.89,7156.62,1.99060916
OPENHYBRID(x4),3,4,16384,4815.24,4809.91,4809.4,4811.516667,2.960819699
OPENHYBRID(x4),4,4,16384,3625.88,3624.65,3623.34,3624.623333,3.930348624
OPENHYBRID(x4),5,4,16384,2923.24,2923.47,2924.05,2923.586667,4.872793234
OPENHYBRID(x4),6,4,16384,3804.1,3891.49,3944.03,3879.873333,3.671777944
OPENHYBRID(x4),7,4,16384,3644.96,3731.55,3612.16,3662.89,3.889287784
OPENHYBRID(x4),8,4,16384,3306.73,3282.14,3291.77,3293.546667,4.325438432
OPENHYBRID(x4),9,4,16384,3397.54,3611.87,3329.86,3446.423333,4.133570358
OPENHYBRID(x4),10,4,16384,2942.19,2913.26,2913.17,2922.873333,4.87398245
OPENHYBRID(x4),11,4,16384,2690.27,2688.79,2677.55,2685.536667,5.304724938
OPENHYBRID(x4),12,4,16384,2662.06,2679.05,2678.35,2673.153333,5.32929898
